Time,V,mNa,hNa,jNa,Nai,Ki,Cai,CaNSR,xKs,LTRPNCa,HTRPNCa,C0Kv43,C1Kv43,C2Kv43,C3Kv43,OKv43,CI0Kv43,CI1Kv43,CI2Kv43,CI3Kv43,OIKv43,C0Kv14,C1Kv14,C2Kv14,C3Kv14,OKv14,CI0Kv14,CI1Kv14,CI2Kv14,CI3Kv14,OIKv14,CaToT,C1Herg,C2Herg,C3Herg,OHerg,IHerg
10.011,63.126806,0.99995937,0.065662674,0.87185638,10.662645,131.85845,0.00014711481,0.94722484,0.0052192019,0.1278665,0.9827045,0.060797366,0.24394048,0.36664892,0.24287022,0.060582577,6.6777765e-07,0.00023962094,0.0037312773,0.0013696344,0.019134557,0.002872691,0.036390702,0.17286257,0.36482821,0.28287314,8.8706962e-07,1.1884648e-06,0.043211816,0.045588789,0.051241025,10.960319,0.87346913,0.12417683,0.00222496,0.00012630804,2.7795263e-06
10.012,47.900045,0.99996819,2.4975324e-05,0.6408746,10.662511,131.85753,0.0001492589,0.94722629,0.011937959,0.12792098,0.98269056,6.7397497e-07,9.0998742e-05,0.0045244869,0.09361739,0.77666487,1.0510723e-06,-1.3936141e-06,1.1959165e-05,0.00043078466,0.1239745,2.7924049e-08,8.2503319e-06,0.0009108819,0.04457017,0.73858961,0,1.9271474e-08,0.0032606639,0.010294676,0.20223672,10.961817,0.47471977,0.48632733,0.031482308,0.0069426716,0.00052791968
10.013,32.535162,0.99984434,1.2097254e-08,0.47287852,10.662373,131.85644,0.00015345014,0.94725937,0.017273192,0.1280713,0.98267782,2.0294317e-08,6.0593376e-06,0.00070783474,0.036224857,0.73950063,-7.3872092e-07,9.9254304e-07,1.9799292e-06,0.00082935053,0.22204434,0,7.1160806e-09,8.3877349e-06,0.0042612964,0.69082376,0,8.3858601e-09,0.00033915104,0.0015751764,0.30286323,10.965655,0.35481704,0.56686692,0.056923238,0.018618262,0.0027745402
10.014,24.02113,0.99961393,3.7637804e-09,0.33824901,10.66224,131.85547,0.00016415631,0.94737621,0.022167371,0.1285044,0.9826666,6.8322355e-08,1.4788708e-05,0.0012232523,0.044535091,0.6348208,-8.6474572e-07,1.1661685e-06,5.4984617e-06,0.0020702313,0.3166453,0,6.9997958e-10,1.6218593e-06,0.0016447476,0.60543287,0,7.3840794e-10,3.4010118e-05,0.00020922323,0.39254854,10.973324,0.31192791,0.57815971,0.072079393,0.030670166,0.0071628239
10.015,20.80654,0.99945037,6.4976299e-09,0.2478951,10.662123,131.85473,0.0001799242,0.9475643,0.026270282,0.12936368,0.98266104,2.1881786e-07,3.4726934e-05,0.002056158,0.053419405,0.54657501,-2.7935733e-07,3.9435119e-07,1.2020943e-05,0.0032532407,0.39396443,0,1.431615e-09,2.3763023e-06,0.0018618199,0.53348995,1.2809569e-09,-2.0624905e-06,6.5355808e-06,4.7473675e-05,0.46446493,10.982117,0.30029351,0.5688345,0.077832495,0.040417133,0.01262236
10.016,19.762018,0.99938276,7.8462549e-09,0.18159202,10.66201,131.85411,0.00020032672,0.94774027,0.030211756,0.13082595,0.98266204,3.9687446e-07,5.251162e-05,0.0025814803,0.055563411,0.4742426,0,3.2727775e-08,1.73104e-05,0.0040898521,0.46276773,0,1.9293595e-09,2.8681102e-06,0.0019218879,0.47014263,6.5966942e-10,-9.5253626e-07,1.5796928e-06,2.8768312e-05,0.52777424,10.991347,0.29695187,0.55565154,0.079286887,0.048956446,0.019153258
10.017,19.636226,0.99937167,8.1365859e-09,0.13206458,10.661895,131.85355,0.00022539953,0.94775787,0.034184941,0.13307344,0.98267146,4.8584668e-07,5.9081474e-05,0.0026670856,0.05264661,0.41411899,0,3.8852498e-08,1.9807383e-05,0.0046309106,0.52517232,0,1.9806193e-09,2.7853615e-06,0.0017768944,0.41334028,8.8630335e-10,-1.2563018e-06,1.4030269e-06,2.9116748e-05,0.5847218,11.000551,0.29501227,0.54289977,0.078755252,0.056598483,0.026734229
10.018,20.136322,0.99940354,7.5798154e-09,0.096343263,10.661782,131.85307,0.0002539779,0.94747616,0.038124589,0.13614664,0.98269058,4.4994087e-07,5.4044002e-05,0.0024086177,0.046910674,0.36513888,0,3.6928249e-08,1.9473075e-05,0.0048598607,0.57992329,0,1.6204478e-09,2.3307965e-06,0.0015259285,0.36404711,7.7799656e-10,-1.1533521e-06,1.2316835e-06,3.0247641e-05,0.63426532,11.009418,0.29135614,0.53286895,0.077477723,0.063291322,0.035005864
10.019,20.646707,0.99943513,7.0165345e-09,0.070305043,10.661669,131.85263,0.00028463788,0.9468008,0.04208044,0.14011643,0.98272042,3.6828321e-07,4.510194e-05,0.0020493397,0.040694329,0.32325026,0,3.2468168e-08,1.8221435e-05,0.00500286,0.62825481,0,1.2674644e-09,1.8840427e-06,0.0012877961,0.32076441,7.5658184e-10,-1.1750375e-06,1.2466276e-06,3.0884278e-05,0.67778597,11.0177,0.28583759,0.52490138,0.076115479,0.069244926,0.043900619
10.02,21.339804,0.99947351,6.3658897e-09,0.051372662,10.661557,131.85225,0.00031648911,0.94569071,0.046044997,0.14495724,0.98276125,2.8351269e-07,3.5970998e-05,0.0016934605,0.034847556,0.28685243,0,2.7432805e-08,1.6601517e-05,0.0050298016,0.6708392,0,9.6494635e-10,1.49316e-06,0.0010765933,0.2828583,7.0352475e-10,-1.1619429e-06,1.2317066e-06,3.0916814e-05,0.71590364,11.025693,0.27873218,0.51853832,0.074861642,0.074585512,0.053282351
