Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
0.018,-4.83717e-07,0.212241,0.0885366,6.81363,0.0465457,0.265324,0.244206,0.293854,0.0112384,-0.0248566,-0.0499534,-9.60188,0.000295347,6.14741e-05,0.000292566,0.000144225,0.00102406,5.61435,1.19928,1.2097,-0.0104213,1.3208,0,-0.380317
0.019,-3.26044e-07,0.231871,0.0985867,6.0554,0.0452489,0.26899,0.239391,0.293988,0.0122226,-0.0242642,-0.0494581,-9.1813,0.00028241,7.64287e-05,0.000381064,0.000183398,0.00120712,4.98891,1.06648,1.07555,-0.00906176,1.5066,0,-0.502732
0.02,-2.12207e-07,0.250409,0.109139,5.393,0.0435512,0.273731,0.234825,0.294169,0.0132196,-0.0236333,-0.0487883,-8.70868,0.000267872,9.14925e-05,0.000476686,0.000227918,0.00136278,4.44338,0.949621,0.957448,-0.00782691,1.53249,0,-0.636571
0.021,-1.4547e-07,0.266558,0.119333,4.80001,0.0426447,0.276235,0.228228,0.294266,0.0141458,-0.0231184,-0.0484202,-8.20345,0.000252332,0.00010548,0.000570283,0.000272729,0.00147404,3.95668,0.84333,0.850165,-0.00683517,1.58388,0,-0.649686
0.022,-9.73145e-08,0.281938,0.129847,4.27665,0.0414607,0.279478,0.222145,0.294395,0.015016,-0.0226001,-0.0479277,-7.82836,0.000240794,0.000118672,0.000662134,0.000317084,0.00158985,3.52627,0.750379,0.756325,-0.00594639,1.9278,0,-0.430168
0.023,-6.54076e-08,0.29628,0.140389,3.81573,0.0403164,0.282582,0.216039,0.294522,0.015812,-0.0221163,-0.0474386,-7.36472,0.000226533,0.000130826,0.000748765,0.000358914,0.00167169,3.14694,0.668787,0.673969,-0.00518223,2.03537,0,-0.297239
0.024,-4.55149e-08,0.309354,0.150762,3.39526,0.039661,0.284347,0.208598,0.294595,0.0165355,-0.0217149,-0.0471523,-6.91914,0.000212827,0.000141985,0.000828132,0.000397824,0.00175339,2.80111,0.594156,0.5987,-0.00454372,2.19927,0,-0.0896166
0.025,-3.16694e-08,0.321864,0.161266,3.01965,0.0389528,0.286243,0.201261,0.294675,0.0172034,-0.0213287,-0.0468378,-6.63636,0.000204129,0.000152407,0.000901511,0.000434201,0.00181217,2.49147,0.528179,0.53216,-0.00398103,2.14204,0,-0.221365
0.026,-2.25433e-08,0.333231,0.171491,2.68172,0.0386532,0.287042,0.192817,0.294708,0.0178016,-0.0210166,-0.0467031,-6.63134,0.000203975,0.000161873,0.000964769,0.000466389,0.001846,2.21313,0.468594,0.472104,-0.00351002,2.54033,0,-0.141257
0.027,-1.60192e-08,0.344226,0.18184,2.38128,0.0382448,0.288129,0.184859,0.294754,0.0183442,-0.0207138,-0.0465178,-6.37215,0.000196002,0.000170585,0.00101871,0.0004945,0.00188111,1.96509,0.416188,0.419279,-0.00309089,2.59827,0,-0.109434
